20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930
1.7087,0.19572,-1.6103,1.9677,-0.31229,0.19884,-0.42371,3.4876,2.0079,5.7412,3.3134,7.8271,10.626,12.844,19.736,19.742,24.205,28.263,29.914,34.268,44.199,46.762,50.022,58.345,67.026
