20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930,20930
2.5493,0.292,-2.4026,2.9357,-0.46592,0.29666,-0.63215,5.2033,2.9957,8.5656,4.9434,11.678,15.854,19.163,29.445,29.454,36.113,42.167,44.631,51.126,65.943,69.766,74.63,87.048,100
